('AUDI / VOLKSWAGEN', '2.0T TSI - 22MM PIN - FULL ROUND SERIES', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=4192&make=8571'),
('AUDI / VOLKSWAGEN', 'RS2 5 CYL', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=3889&make=8571'),
('AUDI / VOLKSWAGEN', '1.8T 20V', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8337&make=8571'),
('AUDI / VOLKSWAGEN', '2.0T TSI ULTRA SERIES', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9630&make=8571'),
('BMW', 'S52B32 US', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9951&make=8610'),
('BMW', 'S5032 EURO', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11739&make=8610'), 
('BMW', '3.0L N55 B30', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=1231&make=8610'), 
('BMW', 'S14B23', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=1264&make=8610'), 
('BMW', 'S54B32 3.2L 24V', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11778&make=8610'), 
('BMW', 'S50B30 US', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10830&make=8610'), 
('BMW', '3.0L N54 B30', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=1843&make=8610'), 
('BMW', 'S50B32 EURO', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9717&make=8610'), 
('BMW', 'S50B30 EURO', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10503&make=8610'), 
('BOMBARDIER / CAN AM', '976cc CAN AM MAVERICK 1000 X RS DPS', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=1801&make=8694'), 
('BOMBARDIER / CAN AM', '1018cc DEFENDER', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2509&make=8694'), 
('BOMBARDIER / CAN AM', '1018cc COMMANDER 1000 X', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2512&make=8694'), 
('BOMBARDIER / CAN AM', '1018cc OUTLANDER', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2515&make=8694'), 
('BOMBARDIER / CAN AM', '1018cc RENEGADE', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2518&make=8694'), 
('BOMBARDIER / CAN AM', '976cc DEFENDER', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2635&make=8694'), 
('BOMBARDIER / CAN AM', '976cc OUTLANDER', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2638&make=8694'), 
('BOMBARDIER / CAN AM', '976cc COMMANDER 1000 X', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2644&make=8694'), 
('BOMBARDIER / CAN AM', '976cc RENEGADE', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2641&make=8694'), 
('BOMBARDIER / CAN AM', '843cc OUTLANDER 800', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2596&make=8694'), 
('BOMBARDIER / CAN AM', '843cc RENEGADE 800', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2599&make=8694'),
('BUICK', 'GRAND NATIONAL', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10842&make=10845'), 
('CHEVROLET', '18° BIG CHIEF / BIG DUKE - NITROUS SERIES', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10362&make=8559'), 
('CHEVROLET', 'GEN V LT1', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9501&make=8559'), 
('CHEVROLET', 'GEN III/IV LS', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8070&make=8559'), 
('CHEVROLET', '350 - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8421&make=8559'), 
('CHEVROLET', 'BBC - OPEN CHAMBER', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8349&make=8559'), 
('CHEVROLET', '400 - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8181&make=8559'), 
('CHEVROLET', 'BBC - OPEN CHAMBER - GAS PORTED - LIGHTWEIGHT - FSR', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9171&make=8559'), 
('CHEVROLET', 'GEN V LT4', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8064&make=8559'), 
('CHEVROLET', 'GEN III/IV LS DOME - 15° CYLINDER HEAD ONLY', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8139&make=8559'), 
('CHEVROLET', '632 - 12° / 14°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9120&make=8559'), 
('CHEVROLET', '400 - 13°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11256&make=8559'), 
('CHEVROLET', '350 - ULTRA-LIGHT - GAS PORTED - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8463&make=8559'), 
('CHEVROLET', '2.0L TURBO ECOTEC LTG', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=1084&make=8559'), 
('CHEVROLET', '350 - TOUR SERIES - GAS PORTED - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8685&make=8559'), 
('CHEVROLET', 'GEN III/IV LS7', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9444&make=8559'), 
('CHEVROLET', 'BBC NITROUS SERIES', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8361&make=8559'), 
('CHEVROLET', '400 - 18°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8412&make=8559'), 
('CHEVROLET', '400 - GAS PORTED - F.S.R. - HOLLOW DOME - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8718&make=8559'), 
('CHEVROLET', '400 - EXTREME DUTY - INVERTED DOME - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9969&make=8559'), 
('CHEVROLET', '350 - NITROUS - DOME - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11046&make=8559'), 
('CHEVROLET', '350 - GAS PORTED - F.S.R. - HOLLOW DOME - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10272&make=8559'), 
('CHEVROLET', '350 - EXTREME DUTY - INVERTED DOME - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9276&make=8559'), 
('CHEVROLET', '400 - 15°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8280&make=8559'), 
('CHEVROLET', 'BRODIX® 11X CYLINDER HEAD - 360 SPRINT CAR ASCS - FSR', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11337&make=8559'), 
('CHEVROLET', '18° BIG CHIEF / BIG DUKE - GAS PORTED', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9096&make=8559'), 
